                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    120,                0.44449,                0.38277,                0.91731,                0.95312,                0.94226,                0.97111,                0.85124,                      0,                    inf,                      0,               0.002146,               0.002146,               0.002146
                    121,                 0.4355,                0.38623,                0.92102,                0.96786,                0.93001,                0.97018,                0.85102,                      0,                    inf,                      0,                0.00208,                0.00208,                0.00208
                    122,                0.43573,                0.36942,                0.92187,                0.95912,                0.93732,                0.97247,                  0.853,                      0,                    inf,                      0,               0.002014,               0.002014,               0.002014
                    123,                0.43767,                0.37756,                0.91951,                0.95758,                0.94575,                0.97221,                0.85172,                      0,                    inf,                      0,               0.001948,               0.001948,               0.001948
                    124,                0.43661,                0.36644,                0.91778,                0.95714,                0.94489,                0.97346,                0.84895,                      0,                    inf,                      0,               0.001882,               0.001882,               0.001882
                    125,                0.43545,                0.37647,                0.91876,                0.95828,                0.93643,                0.96961,                 0.8466,                      0,                    inf,                      0,               0.001816,               0.001816,               0.001816
                    126,                 0.4281,                 0.3638,                0.91221,                0.95251,                0.95102,                0.96943,                0.84564,                      0,                    inf,                      0,                0.00175,                0.00175,                0.00175
                    127,                0.43336,                0.36792,                 0.9178,                0.95468,                0.94359,                0.96887,                0.84781,                      0,                    inf,                      0,               0.001684,               0.001684,               0.001684
                    128,                0.42624,                0.36407,                0.91498,                0.96447,                0.93165,                0.97035,                0.84961,                      0,                    inf,                      0,               0.001618,               0.001618,               0.001618
                    129,                 0.4257,                0.35621,                0.91688,                0.96496,                0.93014,                0.97051,                0.84733,                      0,                    inf,                      0,               0.001552,               0.001552,               0.001552
                    130,                0.42136,                0.35123,                0.91443,                0.96031,                0.94288,                0.97098,                0.84993,                      0,                    inf,                      0,               0.001486,               0.001486,               0.001486
                    131,                0.42489,                0.35653,                 0.9144,                0.94997,                0.95097,                0.97103,                0.85096,                      0,                    inf,                      0,                0.00142,                0.00142,                0.00142
                    132,                  0.421,                0.35001,                0.91545,                0.95643,                0.94231,                0.96889,                0.84801,                      0,                    inf,                      0,               0.001354,               0.001354,               0.001354
                    133,                0.41848,                0.35176,                 0.9141,                0.96034,                0.93807,                0.96964,                0.85086,                      0,                    inf,                      0,               0.001288,               0.001288,               0.001288
                    134,                0.42134,                 0.3522,                0.91166,                0.96712,                0.93626,                0.96738,                 0.8499,                      0,                    inf,                      0,               0.001222,               0.001222,               0.001222
                    135,                0.42046,                0.35145,                  0.911,                0.95494,                 0.9458,                0.96809,                0.84962,                      0,                    inf,                      0,               0.001156,               0.001156,               0.001156
                    136,                0.41831,                0.35187,                 0.9136,                0.95959,                0.93977,                0.96973,                0.85148,                      0,                    inf,                      0,                0.00109,                0.00109,                0.00109
                    137,                0.41667,                0.34026,                0.91213,                0.96385,                0.93657,                0.97286,                0.85208,                      0,                    inf,                      0,               0.001024,               0.001024,               0.001024
